1|3.5e-05
2|2e-05
3|5.1e-05
4|2.7e-05
5|3e-05
6|3.4e-05
7|3.9e-05
8|4.3e-05
9|4.7e-05
10|6.7e-05
11|7.9e-05
12|6.6e-05
13|7e-05
14|7.5e-05
15|7.7e-05
16|9.4e-05
17|9e-05
18|9.5e-05
19|0.0001
20|0.000107
21|0.000155
22|0.000264
23|0.000338
24|0.000416
25|0.00044
26|0.000418
27|0.000259
28|0.001725
29|0.001816
30|0.002534
31|0.002866
32|0.003705
33|0.003945
34|0.003681
35|0.000422
36|0.000429
37|0.00409
38|0.007895
39|0.021953
40|0.008258
41|0.013435
42|0.009043
43|0.002726
44|0.000849
45|0.000821
46|0.000794
47|0.000818
48|0.000803
49|0.000872
50|0.000832
51|0.00087
52|0.000998
53|0.001041
54|0.000932
55|0.001409
56|0.001198
57|0.001131
58|0.001148
59|0.000601
60|0.000612
61|0.000651
62|0.000625
63|0.000522
64|0.00063
65|0.000823
66|0.001424
67|0.00155
68|0.0027
69|0.004096
70|0.002518
71|0.003015
72|0.000746
